,Precision,Recall,F1-score,MCC,ROC,PR
0,0.9686,0.9628,0.9655,0.9576,0.9798,0.9361
1,0.994,0.9953,0.9947,0.994,0.9973,0.9899
2,0.9606,0.9683,0.9644,0.9641,0.9839,0.9304
3,0.9934,0.9837,0.9885,0.9871,0.9914,0.979
4,0.9906,0.9709,0.9806,0.9785,0.9849,0.9647
5,0.9677,0.9362,0.9517,0.946,0.9661,0.913
6,0.9076,0.8847,0.896,0.8838,0.9369,0.8154
7,0.9974,0.9974,0.9974,0.9974,0.9987,0.995
8,0.973,0.9614,0.9672,0.9644,0.9796,0.9386
9,0.894,0.9596,0.9256,0.9169,0.9728,0.8623
10,0.9393,0.971,0.9549,0.9495,0.9817,0.9152
11,0.9808,0.9533,0.9668,0.9667,0.9766,0.9353
12,0.9933,0.9835,0.9884,0.987,0.9913,0.9788
13,1.0,0.9512,0.975,0.9752,0.9756,0.9514
